ANAPHYLAXIS,INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,PCWP,VENTALV,SHUNT,TPR,ARTCO2,CVP,HYPOVOLEMIA,STROKEVOLUME,BP,HISTORY
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,HIGH,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,NORMAL,False,NORMAL,LOW,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,LOW,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,LOW,LOW,False
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,True,LOW,LOW,True
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,LOW,LOW,True
False,False,True,LOW,LOW,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,LOW,NORMAL,True
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,NORMAL,False
False,True,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True,LOW,LOW,False
False,False,True,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,False,LOW,NORMAL,True
False,True,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,HIGH,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,NORMAL,False,LOW,LOW,False
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,LOW,HIGH,LOW,False,LOW,LOW,True
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,LOW,NORMAL,False
