HRBP,INSUFFANESTH,HRSAT,HREKG,KINKEDTUBE,HR,HYPOVOLEMIA,ERRLOWOUTPUT
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,True,HIGH,HIGH,True,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,True,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,True,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,True,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,NORMAL,HIGH,False,LOW,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,True,False
HIGH,False,HIGH,HIGH,True,HIGH,False,False
HIGH,False,HIGH,HIGH,True,HIGH,False,False
LOW,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
NORMAL,False,HIGH,HIGH,False,HIGH,True,True
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,HIGH,HIGH,False,NORMAL,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,LOW,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,True,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,HIGH,False,LOW,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
LOW,False,LOW,LOW,False,NORMAL,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,True,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,True,HIGH,HIGH,False,HIGH,True,False
HIGH,False,NORMAL,NORMAL,False,HIGH,False,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
NORMAL,False,HIGH,HIGH,True,HIGH,True,True
HIGH,True,HIGH,NORMAL,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,True,HIGH,HIGH,False,HIGH,True,False
HIGH,True,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
LOW,False,LOW,LOW,False,NORMAL,False,False
HIGH,False,HIGH,NORMAL,False,HIGH,True,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
HIGH,False,HIGH,HIGH,False,HIGH,False,False
