VENTTUBE,INSUFFANESTH,PVSAT,PAP,HREKG,KINKEDTUBE,FIO2,SAO2,BP
LOW,False,LOW,NORMAL,NORMAL,False,NORMAL,LOW,HIGH
LOW,False,HIGH,NORMAL,HIGH,False,NORMAL,HIGH,LOW
LOW,True,LOW,NORMAL,HIGH,True,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,NORMAL,False,LOW,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,LOW,False,NORMAL,LOW,LOW
LOW,False,LOW,LOW,HIGH,False,NORMAL,LOW,NORMAL
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,HIGH,LOW,LOW,False,NORMAL,HIGH,NORMAL
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,NORMAL
LOW,True,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,NORMAL
LOW,True,HIGH,NORMAL,LOW,False,NORMAL,HIGH,HIGH
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,LOW,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,NORMAL
HIGH,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
LOW,False,LOW,LOW,HIGH,False,NORMAL,LOW,NORMAL
ZERO,False,LOW,HIGH,LOW,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
ZERO,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,NORMAL
LOW,False,LOW,LOW,NORMAL,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL
LOW,False,LOW,HIGH,HIGH,False,LOW,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,NORMAL,False,NORMAL,LOW,LOW
LOW,True,LOW,HIGH,HIGH,False,NORMAL,LOW,HIGH
ZERO,False,NORMAL,LOW,LOW,False,LOW,NORMAL,HIGH
LOW,False,LOW,LOW,NORMAL,False,NORMAL,LOW,NORMAL
ZERO,False,HIGH,NORMAL,LOW,False,NORMAL,HIGH,NORMAL
LOW,False,LOW,HIGH,HIGH,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,NORMAL
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,NORMAL,False,NORMAL,LOW,HIGH
NORMAL,False,LOW,NORMAL,HIGH,True,NORMAL,LOW,NORMAL
LOW,False,LOW,NORMAL,HIGH,True,NORMAL,LOW,NORMAL
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,LOW
LOW,False,LOW,NORMAL,NORMAL,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,NORMAL
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
HIGH,False,HIGH,NORMAL,HIGH,False,NORMAL,HIGH,HIGH
LOW,False,LOW,NORMAL,HIGH,False,NORMAL,LOW,HIGH
LOW,False,LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL
