meldug_1,lai_3,middel_1,meldug_2,nedboer_3,meldug_3,lai_1,meldug_4,lai_4
6___10__,1_5___2_5,0_25_l_ha,0_00___0_01__,2___3,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5
0_01___0_5__,1_5___2_5,0_50_l_ha,0_00___0_01__,____4,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5
2___6__,3_5___4_5,0_l_ha,1___2__,____4,0_01___0_5__,5_5___6_5,0_00___0_01__,0_5___1_5
0_5___1__,3_5___4_5,0_25_l_ha,0_5___1__,2___3,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5
0_01___0_5__,3_5___4_5,0_50_l_ha,0_00___0_01__,0___1,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5
10___25__,1_5___2_5,0_50_l_ha,0_01___0_5__,2___3,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5
0_5___1__,2_5___3_5,0_75_l_ha,0_00___0_01__,0___1,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5
0_01___0_5__,2_5___3_5,0_l_ha,1___2__,2___3,2___6__,4_5___5_5,0_00___0_01__,0_5___1_5
1___2__,1_5___2_5,0_l_ha,25___50__,2___3,0_5___1__,5_5___6_5,0_00___0_01__,0_0___0_5
0_01___0_5__,4_5___5_5,0_l_ha,2___6__,____4,0_00___0_01__,4_5___5_5,0_00___0_01__,1_5___2_5
0_5___1__,2_5___3_5,0_50_l_ha,0_00___0_01__,____4,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5
0_5___1__,4_5___5_5,0_50_l_ha,0_00___0_01__,____4,0_00___0_01__,5_5___6_5,0_00___0_01__,1_5___2_5
50___100__,0_5___1_5,0_75_l_ha,0_5___1__,2___3,0_00___0_01__,0_5___1_5,0_00___0_01__,0_0___0_5
1___2__,2_5___3_5,0_75_l_ha,0_00___0_01__,____4,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5
0_00___0_01__,3_5___4_5,0_25_l_ha,0_00___0_01__,0___1,0_00___0_01__,___6_5,0_00___0_01__,0_5___1_5
1___2__,1_5___2_5,0_25_l_ha,0_5___1__,2___3,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5
