RUQO2,HypoxiaInO2,LungFlow,Grunting,GruntingReport
<5,Severe,Low,no,no
<5,Moderate,Low,no,no
12+,Mild,Normal,no,no
<5,Severe,High,no,yes
5-12,Moderate,Normal,no,no
<5,Severe,High,no,no
12+,Severe,Low,no,no
<5,Moderate,Low,no,no
5-12,Moderate,Low,no,no
5-12,Severe,Normal,no,yes
12+,Moderate,High,no,no
5-12,Moderate,Normal,no,no
5-12,Severe,High,no,no
<5,Severe,High,no,no
<5,Moderate,High,no,no
<5,Moderate,Low,no,no
<5,Severe,Low,no,yes
12+,Mild,Normal,no,no
<5,Moderate,High,no,no
5-12,Mild,High,no,no
5-12,Severe,High,no,no
<5,Moderate,Low,no,no
12+,Severe,High,no,no
5-12,Moderate,High,no,no
<5,Moderate,Normal,yes,yes
<5,Severe,High,no,no
5-12,Severe,High,no,no
<5,Moderate,Low,no,no
5-12,Moderate,Low,no,no
5-12,Moderate,Low,no,yes
5-12,Moderate,Low,no,no
5-12,Moderate,High,no,no
<5,Moderate,Low,no,no
5-12,Moderate,Low,no,no
<5,Severe,High,no,no
12+,Mild,Normal,yes,yes
<5,Severe,High,yes,no
5-12,Severe,Low,no,no
5-12,Severe,High,no,no
5-12,Moderate,Low,no,no
<5,Moderate,Low,no,no
5-12,Mild,Low,yes,no
<5,Severe,High,yes,yes
5-12,Moderate,High,no,no
<5,Severe,Low,yes,yes
5-12,Moderate,Low,no,no
5-12,Moderate,Low,yes,yes
5-12,Mild,High,no,no
5-12,Severe,High,no,no
5-12,Moderate,Normal,no,yes
5-12,Severe,Normal,no,yes
<5,Severe,High,yes,yes
<5,Moderate,High,no,no
5-12,Mild,High,no,no
12+,Moderate,Low,no,no
5-12,Severe,High,no,yes
<5,Severe,High,no,no
5-12,Moderate,Normal,no,no
5-12,Severe,Normal,no,no
<5,Moderate,Low,no,yes
<5,Moderate,Low,yes,yes
5-12,Severe,Low,no,no
<5,Moderate,High,no,yes
12+,Mild,Low,no,no
5-12,Moderate,High,no,no
5-12,Moderate,Low,yes,no
5-12,Moderate,Low,no,no
5-12,Moderate,Low,no,no
5-12,Severe,Normal,no,no
12+,Mild,Low,no,no
12+,Severe,Low,no,no
5-12,Severe,High,no,no
12+,Moderate,Low,no,no
5-12,Moderate,Low,no,no
12+,Mild,High,no,no
5-12,Severe,High,yes,no
12+,Moderate,Low,no,yes
<5,Severe,High,no,no
<5,Severe,High,no,no
5-12,Mild,Low,yes,no
5-12,Moderate,Normal,no,no
12+,Severe,Normal,yes,yes
5-12,Moderate,Low,no,no
12+,Mild,High,yes,no
5-12,Moderate,Low,no,yes
<5,Severe,High,yes,yes
<5,Severe,Low,no,no
12+,Moderate,Low,no,no
5-12,Severe,Low,no,no
5-12,Moderate,Low,no,no
12+,Mild,High,no,no
<5,Moderate,Low,no,no
12+,Mild,High,no,no
<5,Severe,Low,yes,yes
5-12,Moderate,High,yes,yes
5-12,Severe,Normal,no,yes
5-12,Moderate,High,no,no
5-12,Moderate,Normal,no,no
5-12,Moderate,Normal,yes,yes
5-12,Moderate,Low,no,no
5-12,Moderate,Low,no,no
<5,Severe,High,no,no
<5,Moderate,Low,no,no
5-12,Moderate,Low,no,no
<5,Severe,Low,no,no
12+,Mild,Low,yes,yes
12+,Mild,Normal,yes,yes
12+,Severe,Normal,yes,yes
<5,Severe,Low,yes,yes
5-12,Moderate,High,no,no
12+,Mild,Normal,no,no
<5,Severe,Low,no,no
5-12,Moderate,Low,yes,no
5-12,Moderate,Low,no,no
<5,Severe,High,no,no
<5,Severe,Low,yes,yes
<5,Moderate,Low,yes,yes
5-12,Moderate,Normal,no,no
5-12,Moderate,Low,no,no
<5,Moderate,Low,no,no
<5,Severe,High,no,no
<5,Severe,High,no,yes
5-12,Moderate,Low,no,no
<5,Severe,Normal,no,yes
