G,S
AR,AR_AMI-4
CA,CA_AMI-5
AK,AK_AMI-1
AZ,AZ_HF-3
AK,AK_PN-3B
CA,CA_AMI-5
AR,AR_AMI-7A
AL,AL_AMI-4
AL,AL_AMI-3
CA,CA_AMI-7A
AR,AR_AMI-3
AZ,AZ_HF-3
AR,AR_AMI-2
AR,AR_AMI-5
CA,CA_SCIP-CARD-2
AZ,AZ_SCIP-VTE-1
AZ,AZ_AMI-5
AL,AL_AMI-3
AZ,AZ_HF-1
AL,AL_AMI-5
AL,AL_PN-3B
AL,AL_AMI-7A
AL,AL_AMI-7A
CA,CA_AMI-3
AR,AR_AMI-1
AL,AL_AMI-1
CA,CA_AMI-7A
AR,AR_AMI-1
CA,CA_SCIP-VTE-2
CA,CA_AMI-2
AK,AK_HF-4
CA,CA_AMI-2
AR,AR_AMI-5
AR,AR_AMI-7A
AL,AL_AMI-5
AR,AR_PN-3B
AR,AR_AMI-2
AL,AL_AMI-2
CA,CA_AMI-4
AZ,AZ_HF-2
AL,AL_SCIP-VTE-2
AL,AL_AMI-5
AK,AK_AMI-7A
AL,AL_AMI-2
AR,AR_AMI-2
AZ,AZ_SCIP-CARD-2
AL,AL_AMI-4
AL,AL_AMI-4
AL,AL_AMI-5
CA,CA_AMI-7A
CA,CA_SCIP-INF-4
AL,AL_AMI-2
AL,AL_AMI-3
AR,AR_AMI-3
AL,AL_AMI-3
CA,CA_AMI-5
AZ,AZ_AMI-1
AK,AK_AMI-5
AR,AR_AMI-4
CA,CA_AMI-4
AR,AR_AMI-5
AL,AL_SCIP-INF-3
CA,CA_AMI-4
AZ,AZ_AMI-3
AL,AL_AMI-3
CA,CA_AMI-3
AR,AR_AMI-3
AK,AK_AMI-5
AL,AL_AMI-4
AR,AR_AMI-4
CA,CA_AMI-4
AL,AL_SCIP-INF-3
AZ,AZ_HF-1
AL,AL_SCIP-CARD-2
AZ,AZ_AMI-7A
AL,AL_AMI-4
AL,AL_AMI-5
AL,AL_AMI-5
AK,AK_HF-4
AL,AL_AMI-3
AK,AK_AMI-5
AZ,AZ_HF-3
AZ,AZ_AMI-2
AK,AK_HF-1
CA,CA_AMI-7A
AL,AL_AMI-3
AZ,AZ_AMI-3
CA,CA_AMI-4
AK,AK_AMI-1
CA,CA_AMI-7A
CA,CA_AMI-5
AL,AL_SCIP-CARD-2
AL,AL_AMI-5
AL,AL_AMI-2
AR,AR_HF-3
AL,AL_AMI-3
CA,CA_AMI-4
AK,AK_HF-3
AR,AR_AMI-4
