index,Order ID,Date,Style,SKU,ASIN,ship-city,ship-state
49051,408-4858463-2356347,05-31-22,J0385,J0385-KR-M,B09YYNG98D,RAJAHMUNDRY,ANDHRA PRADESH
49077,402-7697834-2682766,05-31-22,JNE3654,JNE3654-TP-XXL,B09B3GWVJ9,CHENNAI,TAMIL NADU
49081,402-7031777-0396341,05-31-22,JNE3798,JNE3798-KR-XS,B09SDY7MHD,NEDUMANGAD,KERALA
49082,408-1235521-4337163,05-31-22,J0152,J0152-DR-L,B08V197XLZ,LEH,JAMMU & KASHMIR
49083,403-3845187-4421165,05-31-22,J0157,J0157-DR-XL,B098316HXL,PIMPRI CHINCHWAD,MAHARASHTRA
49086,171-1835528-9515557,05-31-22,J0341,J0341-DR-L,B099NRCT7B,ANAKAPALLE,ANDHRA PRADESH
49090,407-3443436-4510708,05-31-22,JNE3800,JNE3800-KR-M,B09SDXQ3X9,PIMPRI CHINCHWAD,MAHARASHTRA
49092,408-0730692-6026747,05-31-22,SET398,SET398-KR-PP-XXXL,B09RPJD74Z,Ernakulam District,KERALA
49093,407-3165269-1194731,05-31-22,JNE3869,JNE3869-DR-M,B09RK7Q644,MUMBAI,MAHARASHTRA
49100,171-2320443-6127563,05-31-22,JNE3800,JNE3800-KR-A-L,B09TH43NW5,ALAPPUZHA,KERALA
49104,402-3890557-2185149,05-31-22,SET355,SET355-KR-PP-XXXL,B09RKFCS6D,PATNA,BIHAR
49111,407-8148061-4084353,05-31-22,JNE3800,JNE3800-KR-XXL,B09SDYNZQ5,NOIDA,UTTAR PRADESH
49115,404-5160267-7056315,05-31-22,JNE3904,JNE3904-DR-XXXL,B09Y27F7WY,TUMAKURU. Phone Number 9686000855,KARNATAKA
49120,405-7578712-9960320,05-31-22,SET183,SET183-KR-DH-M,B08B3Z2YY3,CHHIPABAROD,RAJASTHAN
49124,171-8262036-7396339,05-31-22,SET224,SET224-KR-NP-XL,B08MXFNM51,JOGIPET,TELANGANA
49134,404-9674095-7041128,05-31-22,JNE3802,JNE3802-KR-XL,B09K3T96QK,BHILAI,CHHATTISGARH
49138,408-7891501-1393915,05-31-22,SET333,SET333-KR-DPT-M,B09RKF4FNJ,BENGALURU,KARNATAKA
49139,408-7891501-1393915,05-31-22,J0280,J0280-SKD-M,B08QGKNC21,BENGALURU,KARNATAKA
49144,405-8584178-5101966,05-31-22,JNE3793,JNE3793-KR-XL,B09NQ6824N,JODHPUR,RJ
49146,404-8874122-8743552,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,CHENNAI,TAMIL NADU
49152,407-7570887-8013113,05-31-22,J0341,J0341-DR-XXXL,B099NSQP4Z,BHOPAL,MADHYA PRADESH
49153,408-5384140-8465103,05-31-22,SET145,SET145-KR-NP-L,B0822SX9WB,PURNIA,BIHAR
49154,408-2671397-6563516,05-31-22,NW031,NW031-TP-PJ-XXXL,B0928WHXM6,MUMBAI,MAHARASHTRA
49155,171-7643678-4025934,05-31-22,JNE3738,JNE3738-KR-XL,B099NMSHR7,PUNE,MAHARASHTRA
49156,404-6615642-5476348,05-31-22,SET356,SET356-KR-NP-XXXL,B09QJ49VXB,MAHBUBNAGAR,TELANGANA
49158,406-7807144-5063543,05-31-22,J0013,J0013-SKD-XXXL,B08CN3P4HX,Secunderabad,TELANGANA
49169,408-4160478-4949143,05-31-22,JNE3800,JNE3800-KR-A-S,B09TH5VZK6,SECUNDERABAD,TELANGANA
49171,171-4336198-0844362,05-31-22,J0294,J0294-TP-XS,B099S81YF8,AROOR,KERALA
49175,403-2391051-0249167,05-31-22,JNE3687,JNE3687-TU-XXXL,B098736GK5,GUWAHATI,ASSAM
49179,403-2680363-1237958,05-31-22,SET293,SET293-KR-NP-XS,B09K3938KW,BENGALURU,KARNATAKA
49182,408-6553155-3830703,05-31-22,J0117,J0117-TP-M,B08N4TGTRV,RANCHI,JHARKHAND
49183,408-6553155-3830703,05-31-22,J0113,J0113-TP-M,B08V19JZ2F,RANCHI,JHARKHAND
49185,403-1750171-3817921,05-31-22,SET347,SET347-KR-NP-M,B09RKF9KV8,BENGALURU,KARNATAKA
49186,408-0131862-2469171,05-31-22,J0003,J0003-SET-M,B0894XH3LN,Guntur,ANDHRA PRADESH
49187,404-4193171-1449933,05-31-22,JNE3609,JNE3609-KR-XXL,B08W1HC76G,HYDERABAD,TELANGANA
49191,403-9810681-1817140,05-31-22,J0281,J0281-SKD-L,B08QGMNRBT,CHENNAI,TAMIL NADU
49193,407-9497325-8561935,05-31-22,SET187,SET187-KR-DH-XL,B08B415N6S,MUMBAI.,MAHARASHTRA
49196,403-2595882-9787511,05-31-22,J0281,J0281-SKD-L,B08QGMNRBT,GURUGRAM,HARYANA
49198,171-7986788-8605146,05-31-22,JNE3640,JNE3640-TP-N-XXL,B08ZHWQWSX,HYDERABAD,TELANGANA
49199,402-7930018-8407512,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,Ulhasnagar 3,MAHARASHTRA
49208,403-0736013-3940338,05-31-22,JNE3487,JNE3487-KR-S,B08RP1Z6L4,CHENNAI,TAMIL NADU
49220,402-6523725-9445100,05-31-22,NW030,NW030-TP-PJ-L,B09G2T795K,AMRITSAR,PUNJAB
49222,402-4776266-0177960,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,Hyderabad,TELANGANA
49224,407-4995699-3510700,05-31-22,MEN5003,MEN5003-KR-XXL,B08YYTBPPP,THANE,MAHARASHTRA
49234,408-4763190-7206717,05-31-22,J0308,J0308-DR-XXXL,B099NTV5ZV,GURUGRAM,HARYANA
49241,402-2055345-6651519,05-31-22,JNE3639,JNE3639-TP-N-XL,B08ZHRYMZD,HOSUR,TAMIL NADU
49244,403-7406534-5987564,05-31-22,SET355,SET355-KR-PP-XXXL,B09RKFCS6D,MADURAI,TAMIL NADU
49246,408-1350052-0241160,05-31-22,JNE3697,JNE3697-KR-XXL,B098133PV5,KHAMMAM,TELANGANA
49247,402-5339105-3217158,05-31-22,PJNE3068,PJNE3068-KR-5XL,B09M768PCX,PALAKKAD,KERALA
49249,171-2169845-9796307,05-31-22,JNE3468,JNE3468-KR-XL,B08RP67NGB,MUMBAI,MAHARASHTRA
49250,408-5564513-7823506,05-31-22,J0341,J0341-DR-XXXL,B099NSQP4Z,PUNE,MAHARASHTRA
49255,403-9149094-4965938,05-31-22,SET327,SET327-KR-DPT-S,B09PN37FYX,VEERAPANDIANPATTINAM,TAMIL NADU
49256,403-9149094-4965938,05-31-22,SET307,SET307-KR-DPT-S,B09SDYC9GD,VEERAPANDIANPATTINAM,TAMIL NADU
49257,405-3607901-8698729,05-31-22,JNE3818,JNE3818-KR-XXL,B09LTY88GR,KOLKATA,WEST BENGAL
49282,404-7920226-5773169,05-31-22,SET436,SET436-KR-NP-XS,B09YNXQF36,BENGALURU,KARNATAKA
49287,403-7773076-5061904,05-31-22,JNE3710,JNE3710-DR-M,B091T25NQG,PUNE,MAHARASHTRA
49289,404-2909904-1308301,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,pallikunnu (p O),KERALA
49292,402-7233553-8314762,05-31-22,JNE3800,JNE3800-KR-A-XXXL,B09TH53Q68,HYDERABAD,TELANGANA
49296,407-9955862-3831523,05-31-22,SET291,SET291-KR-PP-XXXL,B099NFZJVC,New Delhi,DELHI
49299,408-8236219-6067504,05-31-22,SET278,SET278-KR-NP-S,B0983F2ZJW,RAIPUR,CHHATTISGARH
49304,402-8049339-9198736,05-31-22,J0341,J0341-DR-L,B099NRCT7B,HYDERABAD,TELANGANA
49305,171-1822144-4502737,05-31-22,SET347,SET347-KR-NP-XS,B09RKFBMYD,Aluva,KERALA
49313,402-9170198-4888308,05-31-22,JNE3865,JNE3865-TP-XXL,B09TZTZ58D,UTTARKASHI,UTTARAKHAND
49321,402-2346651-6160336,05-31-22,JNE3779,JNE3779-KR-XL,B09SDZV7MR,KANCHIPURAM,TAMIL NADU
49322,402-2346651-6160336,05-31-22,JNE3759,JNE3759-KR-XL,B099FB2C9L,KANCHIPURAM,TAMIL NADU
49323,402-2346651-6160336,05-31-22,JNE3798,JNE3798-KR-L,B09SDX13G7,KANCHIPURAM,TAMIL NADU
49324,402-2346651-6160336,05-31-22,JNE3720,JNE3720-KR-XL,B099F9N2F3,KANCHIPURAM,TAMIL NADU
49325,402-5937800-8656361,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,CHERANALLUR,KERALA
49327,171-8872256-8581107,05-31-22,JNE3431,JNE3431-KR-M,B08KRXQRTY,ELURU,ANDHRA PRADESH
49335,403-5381737-4235507,05-31-22,JNE3753,JNE3753-KR-S,B09K3ZCQPF,GREATER NOIDA,UTTAR PRADESH
49341,171-5491886-9530718,05-31-22,SET317,SET317-KR-PP-M,B09RKDH9X6,AMBIKAPUR,CHHATTISGARH
49342,402-6637572-6658710,05-31-22,SET327,SET327-KR-DPT-XL,B09PN1HZ58,VELLORE,TAMIL NADU
49350,402-7818381-2141121,05-31-22,SET236,SET236-KR-PP-M,B08QGNJZRM,GUNTUR,ANDHRA PRADESH
49351,402-7818381-2141121,05-31-22,J0126,J0126-SKD-M,B08V1R5MMB,GUNTUR,ANDHRA PRADESH
49354,402-9922343-8350743,05-31-22,JNE3567,JNE3567-KR-XXXL,B08KRZK1NB,VISAKHAPATNAM,ANDHRA PRADESH
49359,403-5000355-1058733,05-31-22,JNE3800,JNE3800-KR-XXL,B09SDYNZQ5,MUZAFFARNAGAR,UTTAR PRADESH
49362,405-1665636-0235561,05-31-22,J0348,J0348-SET-XL,B09HNRBVMT,CHENNAI,TAMIL NADU
49369,408-5416841-0398762,05-31-22,JNE3577,JNE3577-KR-M,B08MYT13YV,BENGALURU,KARNATAKA
49370,406-9398949-0553921,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,VIRAR,MAHARASHTRA
49372,403-0830826-3115548,05-31-22,MEN5032,MEN5032-KR-XL,B08YZ1H4TG,GHAZIABAD,UTTAR PRADESH
49379,408-1884615-3317140,05-31-22,J0308,J0308-DR-XXXL,B099NTV5ZV,MUMBAI,MAHARASHTRA
49384,405-2586698-4175526,05-31-22,JNE3471,JNE3471-KR-L,B08HK3SLGX,BENGALURU,KARNATAKA
49385,405-2586698-4175526,05-31-22,JNE3265,JNE3265-KR-L,B07R4ZMLC9,BENGALURU,KARNATAKA
49397,404-8483406-5797166,05-31-22,JNE3862,JNE3862-TU-L,B09Y3CVP18,Warangal urban,TELANGANA
49406,406-9044201-9498734,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,HYDERABAD,TELANGANA
49407,404-3503446-9739531,05-31-22,SET187,SET187-KR-DH-XL,B08B415N6S,MUMBAI,MAHARASHTRA
49411,402-3913511-4745929,05-31-22,JNE3905,JNE3905-DR-S,B09YYPQ7NW,Majorda,GOA
49412,402-0126890-2539528,05-31-22,JNE3836,JNE3836-KR-XL,B09RKBVL7Y,NOIDA,UTTAR PRADESH
49417,403-8270117-5050743,05-31-22,J0003,J0003-SET-XXL,B0894XKVH3,BENGALURU,KARNATAKA
49420,403-0402075-4637925,05-31-22,JNE3904,JNE3904-DR-L,B09Y25NR54,Faridabad,HARYANA
49429,408-9113969-1382712,05-31-22,J0164,J0164-DR-M,B08QGMPGKT,HYDERABAD,TELANGANA
49437,405-4492243-3583526,05-31-22,JNE3818,JNE3818-KR-L,B09LTZH194,GHAZIABAD,UTTAR PRADESH
49438,408-5081284-4087545,05-31-22,JNE3869,JNE3869-DR-L,B09RK63SGY,BENGALURU,KARNATAKA
49443,408-1738372-8701132,05-31-22,SET397,SET397-KR-NP  -M,B09RKD6KWL,Kathgodam (haldwani),UTTARAKHAND
49445,406-8732459-8998750,05-31-22,JNE3798,JNE3798-KR-XS,B09SDY7MHD,Haripad,KERALA
49450,406-2512134-8259531,05-31-22,JNE3671,JNE3671-TU-XL,B0986XNKJJ,BENGALURU,KARNATAKA
49452,405-9167952-3901115,05-31-22,JNE3601,JNE3601-KR-L,B08QJM4J9Z,DHARMSALA,HIMACHAL PRADESH
49456,171-0319749-3467528,05-31-22,MEN5011,MEN5011-KR-XXL,B08YZ3Q2B6,NOIDA,UTTAR PRADESH
49461,402-1084018-6307564,05-31-22,J0341,J0341-DR-L,B099NRCT7B,HYDERABAD,TELANGANA
49462,171-4159663-2161900,05-31-22,JNE3861,JNE3861-DR-XXL,B09SDY9GXB,HABRA,WEST BENGAL
49463,402-2064234-2445136,05-31-22,J0150,J0150-KR-S,B08N19XG53,KOLHAPUR,MAHARASHTRA
49465,407-1326750-1493960,05-31-22,J0301,J0301-TP-M,B099S9DTR2,NAWANSHAHR,PUNJAB
49468,402-0802305-2699559,05-31-22,SET281,SET281-KR-PP-L,B0983DYB2P,Mumbai,MAHARASHTRA
49478,405-2310950-7257943,05-31-22,JNE3735,JNE3735-KR-XXXL,B09LV1Q3DT,MANGALURU,KARNATAKA
49495,407-9923506-4962739,05-31-22,JNE3449,JNE3449-KR-XL,B08BFL5B9S,CHENNAI,TAMIL NADU
49496,171-2056641-9472360,05-31-22,NW012,NW012-TP-PJ-XL,B0922TK8CF,Guntur,ANDHRA PRADESH
49511,406-2084085-1366707,05-31-22,J0341,J0341-DR-L,B099NRCT7B,CHENNAI,TAMIL NADU
49512,408-0390281-2104352,05-31-22,MEN5019,MEN5019-KR-XXXL,B08YYQXZHK,JALPAIGURI,WEST BENGAL
49513,408-8678200-5500319,05-31-22,J0117,J0117-TP-XXXL,B08N498WCX,MUMBAI,MAHARASHTRA
49527,408-0233894-9998774,05-31-22,SET291,SET291-KR-PP-M,B099NK55YG,Namakkal,TAMIL NADU
49530,408-9014017-5037154,05-31-22,SET310,SET310-KR-NP-XXL,B09RKDLD1W,LUCKNOW,UTTAR PRADESH
49532,404-8551292-8977145,05-31-22,SET401,SET401-KR-NP-XXXL,B09VC71N98,PUNE,MAHARASHTRA
49539,402-5726603-0755523,05-31-22,JNE3800,JNE3800-KR-XXL,B09SDYNZQ5,MUMBAI 400102,MAHARASHTRA
49542,406-5382737-4757938,05-31-22,JNE3627,JNE3627-KR-XL,B08W2JV979,PATIALA,PUNJAB
49543,408-0563659-1020348,05-31-22,J0341,J0341-DR-L,B099NRCT7B,BENGALURU,KARNATAKA
49544,407-0681799-4061925,05-31-22,J0341,J0341-DR-L,B099NRCT7B,MUMBAI,MAHARASHTRA
49545,408-0865965-3904320,05-31-22,SET327,SET327-KR-DPT-L,B09PN4P12Y,MARKAPUR,ANDHRA PRADESH
49553,405-9047942-8892364,05-31-22,J0157,J0157-DR-XL,B098316HXL,BENGALURU,KARNATAKA
49555,407-3312852-7909912,05-31-22,JNE3568,JNE3568-KR-M,B08KRZRSCL,BENGALURU,KARNATAKA
49556,405-7203154-7926729,05-31-22,J0396,J0396-DR-XXXL,B09SDXPC2C,RAI INDUSTRIAL AREA,HARYANA
49558,406-4722540-4325151,05-31-22,JNE3399,JNE3399-KR-XXXL,B082W7Y2KY,CHENNAI,TAMIL NADU
49561,403-1431342-5345145,05-31-22,SET187,SET187-KR-DH-XL,B08B415N6S,FARIDABAD,HARYANA
49564,402-3129179-0749965,05-31-22,JNE3606,JNE3606-KR-L,B08MYTXTRW,BHUBANESWAR,ODISHA
49573,403-2388768-9793909,05-31-22,J0280,J0280-SKD-XXL,B08QGMG4RW,PUNE,MAHARASHTRA
49575,171-2469688-6745101,05-31-22,SET363,SET363-KR-NP-XS,B09TH9HS5R,ROURKELA,ODISHA
49579,408-5430823-1578700,05-31-22,J0189,J0189-TP-XL,B08N4TVYBJ,BENGALURU,KARNATAKA
49589,406-9313894-6701904,05-31-22,JNE3869,JNE3869-DR-M,B09RK7Q644,BENGALURU,KARNATAKA
49591,405-2576408-1885141,05-31-22,JNE3436,JNE3436-KR-XL,B081WYGJFV,LUCKNOW,UTTAR PRADESH
49594,404-1901566-8732342,05-31-22,J0113,J0113-TP-XXL,B08V17688J,HYDERABAD,TELANGANA
49598,408-7324449-7240344,05-31-22,JNE3606,JNE3606-KR-S,B08MYTJ6LH,SHIMLA,HIMACHAL PRADESH
49600,407-8281194-5659529,05-31-22,JNE3709,JNE3709-DR-XXL,B091T8S3BP,JAMSHEDPUR,JHARKHAND
