index,Order ID,Date,SKU,ASIN,ship-city
49051,408-4858463-2356347,05-31-22,J0385-KR-M,B09YYNG98D,RAJAHMUNDRY
49077,402-7697834-2682766,05-31-22,JNE3654-TP-XXL,B09B3GWVJ9,CHENNAI
49081,402-7031777-0396341,05-31-22,JNE3798-KR-XS,B09SDY7MHD,NEDUMANGAD
49082,408-1235521-4337163,05-31-22,J0152-DR-L,B08V197XLZ,LEH
49083,403-3845187-4421165,05-31-22,J0157-DR-XL,B098316HXL,PIMPRI CHINCHWAD
49086,171-1835528-9515557,05-31-22,J0341-DR-L,B099NRCT7B,ANAKAPALLE
49090,407-3443436-4510708,05-31-22,JNE3800-KR-M,B09SDXQ3X9,PIMPRI CHINCHWAD
49092,408-0730692-6026747,05-31-22,SET398-KR-PP-XXXL,B09RPJD74Z,Ernakulam District
49093,407-3165269-1194731,05-31-22,JNE3869-DR-M,B09RK7Q644,MUMBAI
49100,171-2320443-6127563,05-31-22,JNE3800-KR-A-L,B09TH43NW5,ALAPPUZHA
49104,402-3890557-2185149,05-31-22,SET355-KR-PP-XXXL,B09RKFCS6D,PATNA
49111,407-8148061-4084353,05-31-22,JNE3800-KR-XXL,B09SDYNZQ5,NOIDA
49115,404-5160267-7056315,05-31-22,JNE3904-DR-XXXL,B09Y27F7WY,TUMAKURU. Phone Number 9686000855
49120,405-7578712-9960320,05-31-22,SET183-KR-DH-M,B08B3Z2YY3,CHHIPABAROD
49124,171-8262036-7396339,05-31-22,SET224-KR-NP-XL,B08MXFNM51,JOGIPET
49134,404-9674095-7041128,05-31-22,JNE3802-KR-XL,B09K3T96QK,BHILAI
49138,408-7891501-1393915,05-31-22,SET333-KR-DPT-M,B09RKF4FNJ,BENGALURU
49139,408-7891501-1393915,05-31-22,J0280-SKD-M,B08QGKNC21,BENGALURU
49144,405-8584178-5101966,05-31-22,JNE3793-KR-XL,B09NQ6824N,JODHPUR
49146,404-8874122-8743552,05-31-22,JNE3797-KR-XL,B09SDXRYBG,CHENNAI
49152,407-7570887-8013113,05-31-22,J0341-DR-XXXL,B099NSQP4Z,BHOPAL
49153,408-5384140-8465103,05-31-22,SET145-KR-NP-L,B0822SX9WB,PURNIA
49154,408-2671397-6563516,05-31-22,NW031-TP-PJ-XXXL,B0928WHXM6,MUMBAI
49155,171-7643678-4025934,05-31-22,JNE3738-KR-XL,B099NMSHR7,PUNE
49156,404-6615642-5476348,05-31-22,SET356-KR-NP-XXXL,B09QJ49VXB,MAHBUBNAGAR
49158,406-7807144-5063543,05-31-22,J0013-SKD-XXXL,B08CN3P4HX,Secunderabad
49169,408-4160478-4949143,05-31-22,JNE3800-KR-A-S,B09TH5VZK6,SECUNDERABAD
49171,171-4336198-0844362,05-31-22,J0294-TP-XS,B099S81YF8,AROOR
49175,403-2391051-0249167,05-31-22,JNE3687-TU-XXXL,B098736GK5,GUWAHATI
49179,403-2680363-1237958,05-31-22,SET293-KR-NP-XS,B09K3938KW,BENGALURU
49182,408-6553155-3830703,05-31-22,J0117-TP-M,B08N4TGTRV,RANCHI
49183,408-6553155-3830703,05-31-22,J0113-TP-M,B08V19JZ2F,RANCHI
49185,403-1750171-3817921,05-31-22,SET347-KR-NP-M,B09RKF9KV8,BENGALURU
49186,408-0131862-2469171,05-31-22,J0003-SET-M,B0894XH3LN,Guntur
49187,404-4193171-1449933,05-31-22,JNE3609-KR-XXL,B08W1HC76G,HYDERABAD
49191,403-9810681-1817140,05-31-22,J0281-SKD-L,B08QGMNRBT,CHENNAI
49193,407-9497325-8561935,05-31-22,SET187-KR-DH-XL,B08B415N6S,MUMBAI.
49196,403-2595882-9787511,05-31-22,J0281-SKD-L,B08QGMNRBT,GURUGRAM
49198,171-7986788-8605146,05-31-22,JNE3640-TP-N-XXL,B08ZHWQWSX,HYDERABAD
49199,402-7930018-8407512,05-31-22,JNE3797-KR-XL,B09SDXRYBG,Ulhasnagar 3
49208,403-0736013-3940338,05-31-22,JNE3487-KR-S,B08RP1Z6L4,CHENNAI
49220,402-6523725-9445100,05-31-22,NW030-TP-PJ-L,B09G2T795K,AMRITSAR
49222,402-4776266-0177960,05-31-22,JNE3797-KR-XL,B09SDXRYBG,Hyderabad
49224,407-4995699-3510700,05-31-22,MEN5003-KR-XXL,B08YYTBPPP,THANE
49234,408-4763190-7206717,05-31-22,J0308-DR-XXXL,B099NTV5ZV,GURUGRAM
49241,402-2055345-6651519,05-31-22,JNE3639-TP-N-XL,B08ZHRYMZD,HOSUR
49244,403-7406534-5987564,05-31-22,SET355-KR-PP-XXXL,B09RKFCS6D,MADURAI
49246,408-1350052-0241160,05-31-22,JNE3697-KR-XXL,B098133PV5,KHAMMAM
49247,402-5339105-3217158,05-31-22,PJNE3068-KR-5XL,B09M768PCX,PALAKKAD
49249,171-2169845-9796307,05-31-22,JNE3468-KR-XL,B08RP67NGB,MUMBAI
49250,408-5564513-7823506,05-31-22,J0341-DR-XXXL,B099NSQP4Z,PUNE
49255,403-9149094-4965938,05-31-22,SET327-KR-DPT-S,B09PN37FYX,VEERAPANDIANPATTINAM
49256,403-9149094-4965938,05-31-22,SET307-KR-DPT-S,B09SDYC9GD,VEERAPANDIANPATTINAM
49257,405-3607901-8698729,05-31-22,JNE3818-KR-XXL,B09LTY88GR,KOLKATA
49282,404-7920226-5773169,05-31-22,SET436-KR-NP-XS,B09YNXQF36,BENGALURU
49287,403-7773076-5061904,05-31-22,JNE3710-DR-M,B091T25NQG,PUNE
49289,404-2909904-1308301,05-31-22,JNE3797-KR-XL,B09SDXRYBG,pallikunnu (p O)
49292,402-7233553-8314762,05-31-22,JNE3800-KR-A-XXXL,B09TH53Q68,HYDERABAD
49296,407-9955862-3831523,05-31-22,SET291-KR-PP-XXXL,B099NFZJVC,New Delhi
49299,408-8236219-6067504,05-31-22,SET278-KR-NP-S,B0983F2ZJW,RAIPUR
49304,402-8049339-9198736,05-31-22,J0341-DR-L,B099NRCT7B,HYDERABAD
49305,171-1822144-4502737,05-31-22,SET347-KR-NP-XS,B09RKFBMYD,Aluva
49313,402-9170198-4888308,05-31-22,JNE3865-TP-XXL,B09TZTZ58D,UTTARKASHI
49321,402-2346651-6160336,05-31-22,JNE3779-KR-XL,B09SDZV7MR,KANCHIPURAM
49322,402-2346651-6160336,05-31-22,JNE3759-KR-XL,B099FB2C9L,KANCHIPURAM
49323,402-2346651-6160336,05-31-22,JNE3798-KR-L,B09SDX13G7,KANCHIPURAM
49324,402-2346651-6160336,05-31-22,JNE3720-KR-XL,B099F9N2F3,KANCHIPURAM
49325,402-5937800-8656361,05-31-22,JNE3797-KR-XL,B09SDXRYBG,CHERANALLUR
49327,171-8872256-8581107,05-31-22,JNE3431-KR-M,B08KRXQRTY,ELURU
49335,403-5381737-4235507,05-31-22,JNE3753-KR-S,B09K3ZCQPF,GREATER NOIDA
49341,171-5491886-9530718,05-31-22,SET317-KR-PP-M,B09RKDH9X6,AMBIKAPUR
49342,402-6637572-6658710,05-31-22,SET327-KR-DPT-XL,B09PN1HZ58,VELLORE
49350,402-7818381-2141121,05-31-22,SET236-KR-PP-M,B08QGNJZRM,GUNTUR
49351,402-7818381-2141121,05-31-22,J0126-SKD-M,B08V1R5MMB,GUNTUR
49354,402-9922343-8350743,05-31-22,JNE3567-KR-XXXL,B08KRZK1NB,VISAKHAPATNAM
49359,403-5000355-1058733,05-31-22,JNE3800-KR-XXL,B09SDYNZQ5,MUZAFFARNAGAR
49362,405-1665636-0235561,05-31-22,J0348-SET-XL,B09HNRBVMT,CHENNAI
49369,408-5416841-0398762,05-31-22,JNE3577-KR-M,B08MYT13YV,BENGALURU
49370,406-9398949-0553921,05-31-22,JNE3797-KR-XL,B09SDXRYBG,VIRAR
49372,403-0830826-3115548,05-31-22,MEN5032-KR-XL,B08YZ1H4TG,GHAZIABAD
49379,408-1884615-3317140,05-31-22,J0308-DR-XXXL,B099NTV5ZV,MUMBAI
49384,405-2586698-4175526,05-31-22,JNE3471-KR-L,B08HK3SLGX,BENGALURU
49385,405-2586698-4175526,05-31-22,JNE3265-KR-L,B07R4ZMLC9,BENGALURU
49397,404-8483406-5797166,05-31-22,JNE3862-TU-L,B09Y3CVP18,Warangal urban
49406,406-9044201-9498734,05-31-22,JNE3797-KR-XL,B09SDXRYBG,HYDERABAD
49407,404-3503446-9739531,05-31-22,SET187-KR-DH-XL,B08B415N6S,MUMBAI
49411,402-3913511-4745929,05-31-22,JNE3905-DR-S,B09YYPQ7NW,Majorda
49412,402-0126890-2539528,05-31-22,JNE3836-KR-XL,B09RKBVL7Y,NOIDA
49417,403-8270117-5050743,05-31-22,J0003-SET-XXL,B0894XKVH3,BENGALURU
49420,403-0402075-4637925,05-31-22,JNE3904-DR-L,B09Y25NR54,Faridabad
49429,408-9113969-1382712,05-31-22,J0164-DR-M,B08QGMPGKT,HYDERABAD
49437,405-4492243-3583526,05-31-22,JNE3818-KR-L,B09LTZH194,GHAZIABAD
49438,408-5081284-4087545,05-31-22,JNE3869-DR-L,B09RK63SGY,BENGALURU
49443,408-1738372-8701132,05-31-22,SET397-KR-NP  -M,B09RKD6KWL,Kathgodam (haldwani)
49445,406-8732459-8998750,05-31-22,JNE3798-KR-XS,B09SDY7MHD,Haripad
49450,406-2512134-8259531,05-31-22,JNE3671-TU-XL,B0986XNKJJ,BENGALURU
