index,Order ID,Style,ship-state,ship-postal-code
49051,408-4858463-2356347,J0385,ANDHRA PRADESH,533126
49077,402-7697834-2682766,JNE3654,TAMIL NADU,600042
49081,402-7031777-0396341,JNE3798,KERALA,695541
49082,408-1235521-4337163,J0152,JAMMU & KASHMIR,194101
49083,403-3845187-4421165,J0157,MAHARASHTRA,411027
49086,171-1835528-9515557,J0341,ANDHRA PRADESH,531001
49090,407-3443436-4510708,JNE3800,MAHARASHTRA,411033
49092,408-0730692-6026747,SET398,KERALA,683515
49093,407-3165269-1194731,JNE3869,MAHARASHTRA,400072
49100,171-2320443-6127563,JNE3800,KERALA,688013
49104,402-3890557-2185149,SET355,BIHAR,800026
49111,407-8148061-4084353,JNE3800,UTTAR PRADESH,201301
49115,404-5160267-7056315,JNE3904,KARNATAKA,572102
49120,405-7578712-9960320,SET183,RAJASTHAN,325221
49124,171-8262036-7396339,SET224,TELANGANA,502270
49134,404-9674095-7041128,JNE3802,CHHATTISGARH,490011
49138,408-7891501-1393915,SET333,KARNATAKA,560028
49139,408-7891501-1393915,J0280,KARNATAKA,560028
49144,405-8584178-5101966,JNE3793,RJ,342009
49146,404-8874122-8743552,JNE3797,TAMIL NADU,600062
49152,407-7570887-8013113,J0341,MADHYA PRADESH,462039
49153,408-5384140-8465103,SET145,BIHAR,854301
49154,408-2671397-6563516,NW031,MAHARASHTRA,400006
49155,171-7643678-4025934,JNE3738,MAHARASHTRA,411036
49156,404-6615642-5476348,SET356,TELANGANA,509001
49158,406-7807144-5063543,J0013,TELANGANA,500026
49169,408-4160478-4949143,JNE3800,TELANGANA,500017
49171,171-4336198-0844362,J0294,KERALA,688535
49175,403-2391051-0249167,JNE3687,ASSAM,781001
49179,403-2680363-1237958,SET293,KARNATAKA,560049
49182,408-6553155-3830703,J0117,JHARKHAND,834001
49183,408-6553155-3830703,J0113,JHARKHAND,834001
49185,403-1750171-3817921,SET347,KARNATAKA,560102
49186,408-0131862-2469171,J0003,ANDHRA PRADESH,522501
49187,404-4193171-1449933,JNE3609,TELANGANA,502032
49191,403-9810681-1817140,J0281,TAMIL NADU,600094
49193,407-9497325-8561935,SET187,MAHARASHTRA,400091
49196,403-2595882-9787511,J0281,HARYANA,122001
49198,171-7986788-8605146,JNE3640,TELANGANA,500030
49199,402-7930018-8407512,JNE3797,MAHARASHTRA,421003
49208,403-0736013-3940338,JNE3487,TAMIL NADU,600004
49220,402-6523725-9445100,NW030,PUNJAB,143001
49222,402-4776266-0177960,JNE3797,TELANGANA,500075
49224,407-4995699-3510700,MEN5003,MAHARASHTRA,400608
49234,408-4763190-7206717,J0308,HARYANA,122004
49241,402-2055345-6651519,JNE3639,TAMIL NADU,635109
49244,403-7406534-5987564,SET355,TAMIL NADU,625017
49246,408-1350052-0241160,JNE3697,TELANGANA,507002
49247,402-5339105-3217158,PJNE3068,KERALA,678007
49249,171-2169845-9796307,JNE3468,MAHARASHTRA,400065
49250,408-5564513-7823506,J0341,MAHARASHTRA,411041
49255,403-9149094-4965938,SET327,TAMIL NADU,628216
49256,403-9149094-4965938,SET307,TAMIL NADU,628216
49257,405-3607901-8698729,JNE3818,WEST BENGAL,700078
49282,404-7920226-5773169,SET436,KARNATAKA,560076
49287,403-7773076-5061904,JNE3710,MAHARASHTRA,411021
49289,404-2909904-1308301,JNE3797,KERALA,670004
49292,402-7233553-8314762,JNE3800,TELANGANA,500013
49296,407-9955862-3831523,SET291,DELHI,110059
49299,408-8236219-6067504,SET278,CHHATTISGARH,492001
49304,402-8049339-9198736,J0341,TELANGANA,500049
49305,171-1822144-4502737,SET347,KERALA,683518
49313,402-9170198-4888308,JNE3865,UTTARAKHAND,249193
49321,402-2346651-6160336,JNE3779,TAMIL NADU,600070
49322,402-2346651-6160336,JNE3759,TAMIL NADU,600070
49323,402-2346651-6160336,JNE3798,TAMIL NADU,600070
49324,402-2346651-6160336,JNE3720,TAMIL NADU,600070
49325,402-5937800-8656361,JNE3797,KERALA,682034
49327,171-8872256-8581107,JNE3431,ANDHRA PRADESH,534001
49335,403-5381737-4235507,JNE3753,UTTAR PRADESH,201310
49341,171-5491886-9530718,SET317,CHHATTISGARH,497001
49342,402-6637572-6658710,SET327,TAMIL NADU,632014
49350,402-7818381-2141121,SET236,ANDHRA PRADESH,522034
49351,402-7818381-2141121,J0126,ANDHRA PRADESH,522034
49354,402-9922343-8350743,JNE3567,ANDHRA PRADESH,530044
49359,403-5000355-1058733,JNE3800,UTTAR PRADESH,251001
49362,405-1665636-0235561,J0348,TAMIL NADU,600078
49369,408-5416841-0398762,JNE3577,KARNATAKA,562107
49370,406-9398949-0553921,JNE3797,MAHARASHTRA,401305
49372,403-0830826-3115548,MEN5032,UTTAR PRADESH,201002
49379,408-1884615-3317140,J0308,MAHARASHTRA,400055
49384,405-2586698-4175526,JNE3471,KARNATAKA,560058
49385,405-2586698-4175526,JNE3265,KARNATAKA,560058
49397,404-8483406-5797166,JNE3862,TELANGANA,506001
49406,406-9044201-9498734,JNE3797,TELANGANA,500089
49407,404-3503446-9739531,SET187,MAHARASHTRA,400066
49411,402-3913511-4745929,JNE3905,GOA,403713
49412,402-0126890-2539528,JNE3836,UTTAR PRADESH,201301
49417,403-8270117-5050743,J0003,KARNATAKA,560093
49420,403-0402075-4637925,JNE3904,HARYANA,121004
49429,408-9113969-1382712,J0164,TELANGANA,500016
49437,405-4492243-3583526,JNE3818,UTTAR PRADESH,201017
49438,408-5081284-4087545,JNE3869,KARNATAKA,560024
49443,408-1738372-8701132,SET397,UTTARAKHAND,263139
49445,406-8732459-8998750,JNE3798,KERALA,690507
49450,406-2512134-8259531,JNE3671,KARNATAKA,560102
49452,405-9167952-3901115,JNE3601,HIMACHAL PRADESH,176057
49456,171-0319749-3467528,MEN5011,UTTAR PRADESH,201301
49461,402-1084018-6307564,J0341,TELANGANA,500059
49462,171-4159663-2161900,JNE3861,WEST BENGAL,743268
49463,402-2064234-2445136,J0150,MAHARASHTRA,416012
49465,407-1326750-1493960,J0301,PUNJAB,144514
49468,402-0802305-2699559,SET281,MAHARASHTRA,400056
49478,405-2310950-7257943,JNE3735,KARNATAKA,575014
49495,407-9923506-4962739,JNE3449,TAMIL NADU,600078
49496,171-2056641-9472360,NW012,ANDHRA PRADESH,522001
49511,406-2084085-1366707,J0341,TAMIL NADU,600099
49512,408-0390281-2104352,MEN5019,WEST BENGAL,734008
49513,408-8678200-5500319,J0117,MAHARASHTRA,400093
49527,408-0233894-9998774,SET291,TAMIL NADU,637201
49530,408-9014017-5037154,SET310,UTTAR PRADESH,226022
49532,404-8551292-8977145,SET401,MAHARASHTRA,411021
49539,402-5726603-0755523,JNE3800,MAHARASHTRA,400102
49542,406-5382737-4757938,JNE3627,PUNJAB,147001
49543,408-0563659-1020348,J0341,KARNATAKA,560100
49544,407-0681799-4061925,J0341,MAHARASHTRA,400060
49545,408-0865965-3904320,SET327,ANDHRA PRADESH,523316
49553,405-9047942-8892364,J0157,KARNATAKA,560043
49555,407-3312852-7909912,JNE3568,KARNATAKA,560001
49556,405-7203154-7926729,J0396,HARYANA,131029
49558,406-4722540-4325151,JNE3399,TAMIL NADU,600078
49561,403-1431342-5345145,SET187,HARYANA,121004
49564,402-3129179-0749965,JNE3606,ODISHA,751021
49573,403-2388768-9793909,J0280,MAHARASHTRA,412307
49575,171-2469688-6745101,SET363,ODISHA,769042
49579,408-5430823-1578700,J0189,KARNATAKA,560043
49589,406-9313894-6701904,JNE3869,KARNATAKA,560029
49591,405-2576408-1885141,JNE3436,UTTAR PRADESH,226002
49594,404-1901566-8732342,J0113,TELANGANA,500083
49598,408-7324449-7240344,JNE3606,HIMACHAL PRADESH,171004
49600,407-8281194-5659529,JNE3709,JHARKHAND,832110
49601,407-9253455-3032307,J0346,UTTAR PRADESH,208002
49602,408-1512701-8024347,JNE3434,TELANGANA,500049
49603,408-1512701-8024347,JNE3710,TELANGANA,500049
49604,404-3193087-3999557,JNE3800,Gujarat,360330
49605,408-7272031-0371526,JNE3431,MAHARASHTRA,411026
