INTUBATION,EXPCO2,MINVOL,VENTALV,VENTLUNG,ARTCO2
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,NORMAL,LOW,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,HIGH,HIGH,LOW,HIGH,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,NORMAL,ZERO,ZERO,LOW,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,HIGH,LOW,LOW,HIGH,HIGH
NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
ESOPHAGEAL,NORMAL,LOW,HIGH,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,ZERO,NORMAL,NORMAL,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ONESIDED,NORMAL,ZERO,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,LOW,HIGH,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
ONESIDED,NORMAL,LOW,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
ONESIDED,NORMAL,ZERO,LOW,LOW,HIGH
