PULMEMBOLUS,INTUBATION,VENTALV,SHUNT,VENTLUNG,PRESS
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,HIGH,NORMAL,LOW,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,HIGH,NORMAL,LOW,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,LOW,HIGH,LOW,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,HIGH,NORMAL,LOW,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,HIGH,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,ONESIDED,LOW,HIGH,HIGH,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,ONESIDED,NORMAL,HIGH,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,HIGH,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,ESOPHAGEAL,ZERO,NORMAL,LOW,HIGH
False,NORMAL,HIGH,NORMAL,LOW,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,HIGH,NORMAL,LOW,HIGH
False,NORMAL,ZERO,HIGH,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,LOW
False,NORMAL,ZERO,NORMAL,ZERO,ZERO
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,HIGH,NORMAL,LOW,LOW
False,NORMAL,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,NORMAL,NORMAL,NORMAL,LOW
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,HIGH,NORMAL,LOW,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,HIGH,NORMAL,LOW,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,LOW
