ERRCAUTER,CO,HRSAT,HREKG,HR,HISTORY
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,LOW,NORMAL,NORMAL,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,LOW,LOW,LOW,NORMAL,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,True
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,True
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,NORMAL,HIGH,LOW,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,LOW,HIGH,HIGH,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,HIGH,LOW,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,LOW,LOW,LOW,NORMAL,True
False,NORMAL,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,True
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
