PULMEMBOLUS,INSUFFANESTH,LVFAILURE,INTUBATION,PVSAT,PCWP,SHUNT,FIO2,SAO2,ERRLOWOUTPUT
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,HIGH,False
False,True,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,LOW,LOW,False
False,False,True,NORMAL,LOW,LOW,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,True,NORMAL,LOW,LOW,NORMAL,NORMAL,LOW,False
False,False,True,NORMAL,HIGH,LOW,NORMAL,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,False
False,True,False,ONESIDED,LOW,LOW,HIGH,NORMAL,LOW,False
False,False,True,NORMAL,LOW,LOW,NORMAL,NORMAL,LOW,False
False,True,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,LOW,False
False,False,True,NORMAL,LOW,LOW,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,False
False,False,False,ONESIDED,LOW,NORMAL,HIGH,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,ONESIDED,LOW,NORMAL,HIGH,NORMAL,LOW,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,LOW,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,True,False,ESOPHAGEAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,NORMAL,HIGH,NORMAL,LOW,NORMAL,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,True
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL,HIGH,False
