INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,PCWP,SHUNT,HR,DISCONNECT,ERRLOWOUTPUT,HISTORY
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,True,LOW,LOW,LOW,NORMAL,NORMAL,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
True,False,HIGH,LOW,LOW,HIGH,HIGH,False,False,False
False,True,LOW,NORMAL,LOW,NORMAL,HIGH,False,False,True
True,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,True,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,NORMAL,True,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,LOW,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,True,False
False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,NORMAL,True,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,LOW,NORMAL,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,True,False,False
False,True,LOW,LOW,LOW,NORMAL,LOW,False,False,True
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
True,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,NORMAL,NORMAL,NORMAL,False,False,True
False,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,True
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,LOW,NORMAL,NORMAL,False,False,False
True,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
True,False,NORMAL,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,HIGH,HIGH,True,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,True,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
