PULMEMBOLUS,INSUFFANESTH,INTUBATION,PAP,KINKEDTUBE,SHUNT
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,True,NORMAL,NORMAL,True,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,LOW,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,LOW,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,True,ONESIDED,NORMAL,False,HIGH
False,False,NORMAL,NORMAL,False,NORMAL
False,True,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,HIGH
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,ONESIDED,NORMAL,False,HIGH
False,False,NORMAL,LOW,False,NORMAL
False,False,ONESIDED,HIGH,False,HIGH
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,LOW,False,NORMAL
False,False,NORMAL,NORMAL,False,HIGH
False,False,NORMAL,HIGH,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,True,ESOPHAGEAL,HIGH,False,NORMAL
False,False,NORMAL,LOW,False,NORMAL
False,False,NORMAL,LOW,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,HIGH,False,HIGH
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,True,NORMAL
False,False,NORMAL,NORMAL,True,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,HIGH,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,HIGH,False,NORMAL
False,False,NORMAL,NORMAL,True,NORMAL
False,False,NORMAL,NORMAL,False,HIGH
False,False,NORMAL,NORMAL,False,NORMAL
False,False,ESOPHAGEAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,True,ESOPHAGEAL,NORMAL,False,NORMAL
False,False,NORMAL,LOW,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,True,ONESIDED,NORMAL,False,HIGH
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,True,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,HIGH,False,NORMAL
False,False,ESOPHAGEAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
False,True,NORMAL,NORMAL,False,NORMAL
False,False,NORMAL,NORMAL,False,NORMAL
