CO2Report,CO2
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
>=7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Low
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Low
>=7.5,High
<7.5,Low
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Low
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,Normal
<7.5,Low
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,High
<7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Low
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,Low
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,Normal
<7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,High
<7.5,Low
<7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
>=7.5,High
>=7.5,Normal
>=7.5,Low
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
>=7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
>=7.5,High
>=7.5,High
>=7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
>=7.5,High
>=7.5,High
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Low
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Low
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,High
>=7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Low
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Low
>=7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Low
>=7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
>=7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
>=7.5,High
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
>=7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,High
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
>=7.5,High
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
<7.5,Normal
<7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,High
>=7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,Low
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,Low
<7.5,Normal
>=7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Low
>=7.5,High
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,High
<7.5,Normal
>=7.5,Low
<7.5,Normal
<7.5,Low
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
>=7.5,High
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,High
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
>=7.5,High
<7.5,Low
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
<7.5,Normal
>=7.5,High
<7.5,Normal
<7.5,Normal
<7.5,Low
<7.5,Normal
