BirthAsphyxia,Disease,LVH,LVHreport
no,PAIVS,yes,no
no,TGA,no,no
no,TGA,no,no
no,TAPVD,no,no
no,Fallot,no,no
yes,PAIVS,yes,yes
no,PFC,no,no
no,TGA,no,no
no,PAIVS,yes,yes
yes,TGA,no,no
no,PAIVS,yes,yes
yes,TGA,no,no
no,PFC,no,yes
no,PAIVS,no,no
no,TGA,no,no
no,Lung,yes,yes
no,TGA,no,no
no,Fallot,no,no
no,Fallot,no,no
yes,PFC,no,no
no,Fallot,no,no
no,Fallot,no,no
no,Lung,no,no
no,TGA,no,no
no,Fallot,yes,no
no,TGA,no,no
no,Fallot,no,no
no,PAIVS,yes,yes
no,TGA,no,no
no,TGA,yes,yes
no,TGA,no,no
no,TGA,no,no
no,Lung,no,no
no,TGA,no,no
no,TGA,no,no
no,TGA,no,no
no,TGA,yes,yes
no,PAIVS,yes,yes
no,Fallot,no,no
no,Fallot,yes,yes
no,Fallot,no,no
no,Fallot,no,no
no,Fallot,no,no
no,Fallot,no,no
no,TAPVD,no,no
no,TAPVD,no,no
no,PAIVS,yes,yes
no,Fallot,no,yes
no,PAIVS,yes,yes
no,PAIVS,yes,yes
no,Fallot,no,no
no,TGA,no,no
yes,PAIVS,yes,yes
no,TGA,no,no
no,PFC,no,no
no,Fallot,no,no
no,PAIVS,yes,yes
yes,TGA,no,no
no,TGA,no,yes
no,TGA,no,no
no,PAIVS,no,no
no,Lung,no,no
no,Fallot,no,no
no,TGA,no,no
no,TGA,no,no
no,TGA,no,no
no,PAIVS,no,no
yes,PFC,no,no
yes,Fallot,no,no
no,Fallot,yes,yes
no,TGA,no,no
no,Fallot,no,no
no,Fallot,no,no
no,TAPVD,no,no
no,Lung,yes,yes
no,TGA,no,no
no,PAIVS,yes,yes
no,PAIVS,yes,yes
no,TGA,no,no
no,Fallot,no,no
no,PAIVS,yes,yes
no,TGA,no,no
no,TGA,no,no
yes,TGA,no,no
no,TGA,yes,yes
yes,PAIVS,yes,yes
no,PAIVS,yes,no
no,TAPVD,no,no
no,Fallot,no,no
no,PAIVS,yes,yes
no,Fallot,no,no
no,TAPVD,no,no
no,Fallot,no,no
no,PAIVS,yes,yes
no,TGA,yes,yes
no,TGA,no,no
no,Fallot,no,no
no,Lung,yes,yes
no,Fallot,no,no
no,TGA,yes,yes
no,PFC,no,no
no,Fallot,no,no
no,TGA,no,no
no,TGA,no,no
no,Fallot,no,no
yes,Fallot,no,no
no,PFC,no,yes
no,TGA,no,no
no,PFC,no,no
no,Fallot,no,no
no,PAIVS,yes,yes
no,PAIVS,yes,yes
no,Lung,no,no
no,Fallot,no,no
no,TGA,no,no
yes,Fallot,no,no
no,Fallot,no,no
no,TGA,yes,yes
no,PAIVS,yes,yes
no,Fallot,no,no
no,TAPVD,no,no
no,TGA,no,no
no,TGA,no,no
no,Fallot,no,no
no,PAIVS,yes,no
no,PAIVS,yes,yes
no,Fallot,no,no
no,Fallot,no,no
no,TGA,no,no
no,PAIVS,yes,yes
no,Lung,yes,yes
no,TGA,no,no
no,TGA,no,no
no,PAIVS,yes,yes
no,PAIVS,yes,no
no,PFC,no,no
no,PAIVS,yes,yes
no,TGA,yes,yes
yes,Lung,no,no
no,TGA,no,no
no,TAPVD,no,no
no,TGA,no,no
yes,TGA,no,no
no,Lung,no,no
no,PAIVS,yes,yes
no,PAIVS,no,no
yes,Lung,no,no
no,PFC,no,no
no,TGA,no,no
no,TGA,no,no
no,Fallot,no,no
no,PAIVS,yes,yes
no,TGA,no,no
no,Fallot,no,no
no,PFC,no,yes
no,Fallot,no,no
no,Fallot,yes,yes
no,TGA,no,no
no,TAPVD,no,no
no,TGA,no,no
no,PAIVS,yes,yes
no,Fallot,no,yes
no,TGA,no,no
no,PFC,no,no
