temp_3,straaling_4
____17_0_C,___300_MJ_m2
13_0___14_9_C,300___349_MJ_m2
13_0___14_9_C,___300_MJ_m2
____17_0_C,300___349_MJ_m2
13_0___14_9_C,___300_MJ_m2
15_0___16_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,300___349_MJ_m2
13_0___14_9_C,___300_MJ_m2
____17_0_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
15_0___16_9_C,300___349_MJ_m2
____17_0_C,300___349_MJ_m2
13_0___14_9_C,___300_MJ_m2
____17_0_C,300___349_MJ_m2
____17_0_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,300___349_MJ_m2
____17_0_C,300___349_MJ_m2
13_0___14_9_C,300___349_MJ_m2
13_0___14_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
____17_0_C,300___349_MJ_m2
13_0___14_9_C,350___399_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,300___349_MJ_m2
____17_0_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
13_0___14_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
____17_0_C,350___399_MJ_m2
15_0___16_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
13_0___14_9_C,___300_MJ_m2
____17_0_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
____17_0_C,350___399_MJ_m2
13_0___14_9_C,300___349_MJ_m2
15_0___16_9_C,350___399_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,300___349_MJ_m2
15_0___16_9_C,350___399_MJ_m2
15_0___16_9_C,350___399_MJ_m2
13_0___14_9_C,300___349_MJ_m2
15_0___16_9_C,300___349_MJ_m2
15_0___16_9_C,350___399_MJ_m2
15_0___16_9_C,350___399_MJ_m2
13_0___14_9_C,___300_MJ_m2
13_0___14_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
13_0___14_9_C,300___349_MJ_m2
____17_0_C,300___349_MJ_m2
13_0___14_9_C,350___399_MJ_m2
15_0___16_9_C,350___399_MJ_m2
15_0___16_9_C,300___349_MJ_m2
13_0___14_9_C,300___349_MJ_m2
13_0___14_9_C,300___349_MJ_m2
13_0___14_9_C,300___349_MJ_m2
13_0___14_9_C,___300_MJ_m2
15_0___16_9_C,___300_MJ_m2
15_0___16_9_C,350___399_MJ_m2
15_0___16_9_C,300___349_MJ_m2
15_0___16_9_C,___300_MJ_m2
____17_0_C,300___349_MJ_m2
15_0___16_9_C,300___349_MJ_m2
