B,D,E,F,G,H,I,J,N,O
State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,Cuba,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,Jamaica,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,>50K
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,noValueSetHere123156456,>50K
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Mexico,<=50K
Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,United-States,>50K
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,United-States,<=50K
Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Husband,Asian-Pac-Islander,Male,South,>50K
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,United-States,<=50K
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,United-States,<=50K
State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,<=50K
Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,Puerto-Rico,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,noValueSetHere123156456,>50K
Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,noValueSetHere123156456,<=50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,Honduras,>50K
Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,Puerto-Rico,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,7th-8th,4,Married-spouse-absent,noValueSetHere123156456,Not-in-family,White,Male,noValueSetHere123156456,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,Mexico,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,10th,6,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,Cuba,<=50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,United-States,>50K
Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,9th,5,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,noValueSetHere123156456,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,England,<=50K
Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
noValueSetHere123156456,10th,6,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,United-States,<=50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,Canada,>50K
Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,<=50K
Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,Germany,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,United-States,<=50K
Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,Iran,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,United-States,>50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,Mexico,<=50K
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,United-States,<=50K
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Divorced,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,Mexico,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,Philippines,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Divorced,noValueSetHere123156456,Not-in-family,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,United-States,<=50K
noValueSetHere123156456,1st-4th,2,Divorced,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,England,<=50K
Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,Mexico,<=50K
Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,United-States,<=50K
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,>50K
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,Bachelors,13,Divorced,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,Mexico,<=50K
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Never-married,noValueSetHere123156456,Own-child,White,Male,Italy,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,11th,7,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,>50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,United-States,>50K
Private,11th,7,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,United-States,<=50K
Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,United-States,>50K
Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,Poland,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,1st-4th,2,Divorced,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
