UniqueCarrier,Carrier
AA,AA
US,US
EV,EV
OO,OO
WN,WN
WN,WN
DL,DL
AA,AA
OO,OO
AA,AA
EV,EV
OO,OO
WN,WN
UA,UA
EV,EV
MQ,MQ
OO,OO
WN,WN
WN,WN
EV,EV
WN,WN
AA,AA
AA,AA
AS,AS
FL,FL
B6,B6
EV,EV
WN,WN
OO,OO
WN,WN
F9,F9
UA,UA
AA,AA
AS,AS
B6,B6
UA,UA
WN,WN
UA,UA
WN,WN
US,US
FL,FL
US,US
EV,EV
OO,OO
AS,AS
WN,WN
MQ,MQ
DL,DL
B6,B6
F9,F9
F9,F9
DL,DL
OO,OO
MQ,MQ
AS,AS
WN,WN
B6,B6
MQ,MQ
WN,WN
WN,WN
WN,WN
UA,UA
AS,AS
OO,OO
WN,WN
EV,EV
HA,HA
OO,OO
EV,EV
DL,DL
OO,OO
EV,EV
DL,DL
DL,DL
WN,WN
AA,AA
US,US
AA,AA
MQ,MQ
WN,WN
MQ,MQ
DL,DL
OO,OO
EV,EV
EV,EV
UA,UA
UA,UA
EV,EV
DL,DL
UA,UA
US,US
MQ,MQ
DL,DL
WN,WN
AA,AA
UA,UA
DL,DL
DL,DL
UA,UA
DL,DL
OO,OO
FL,FL
F9,F9
AA,AA
DL,DL
EV,EV
WN,WN
EV,EV
US,US
WN,WN
EV,EV
MQ,MQ
US,US
DL,DL
F9,F9
MQ,MQ
B6,B6
US,US
AS,AS
DL,DL
EV,EV
US,US
WN,WN
AA,AA
YV,YV
OO,OO
OO,OO
MQ,MQ
WN,WN
AA,AA
WN,WN
DL,DL
DL,DL
EV,EV
EV,EV
WN,WN
AA,AA
B6,B6
WN,WN
MQ,MQ
AA,AA
WN,WN
DL,DL
FL,FL
DL,DL
DL,DL
WN,WN
AA,AA
FL,FL
HA,HA
YV,YV
B6,B6
US,US
US,"US, "
YV,YV
B6,B6
AA,AA
AS,AS
US,US
B6,B6
AS,AS
AA,AA
WN,WN
EV,EV
AS,AS
AS,AS
DL,DL
OO,OO
YV,YV
UA,UA
US,US
WN,WN
UA,UA
F9,F9
OO,OO
WN,WN
OO,OO
YV,YV
EV,EV
EV,EV
EV,EV
WN,WN
WN,WN
EV,EV
WN,WN
DL,DL
UA,UA
OO,OO
DL,DL
DL,DL
WN,WN
OO,OO
AA,AA
WN,WN
OO,OO
US,US
AS,AS
OO,OO
OO,OO
WN,WN
WN,WN
US,US
AA,AA
B6,B6
UA,UA
OO,OO
MQ,MQ
WN,WN
AA,AA
EV,EV
DL,DL
MQ,MQ
FL,FL
UA,UA
WN,WN
UA,UA
US,US
OO,OO
AA,AA
DL,DL
DL,DL
EV,EV
EV,EV
YV,YV
OO,OO
OO,OO
AA,AA
EV,EV
YV,YV
AA,AA
OO,OO
FL,FL
WN,WN
OO,OO
VX,VX
EV,EV
HA,HA
EV,EV
OO,OO
US,US
US,US
DL,DL
VX,VX
DL,DL
EV,EV
YV,YV
AA,AA
UA,UA
UA,UA
UA,UA
WN,WN
AA,AA
EV,EV
EV,EV
WN,WN
UA,UA
UA,UA
OO,OO
WN,WN
EV,EV
MQ,MQ
WN,WN
FL,FL
MQ,MQ
AA,AA
WN,WN
UA,UA
WN,WN
OO,OO
DL,DL
YV,YV
AA,AA
DL,DL
WN,WN
MQ,MQ
B6,B6
FL,FL
OO,OO
EV,EV
OO,OO
EV,EV
MQ,MQ
B6,B6
FL,FL
F9,F9
UA,UA
OO,OO
MQ,MQ
B6,B6
AA,AA
OO,OO
YV,YV
DL,DL
AA,AA
UA,UA
OO,OO
DL,DL
VX,VX
YV,YV
DL,DL
DL,DL
UA,UA
AA,AA
UA,UA
US,US
YV,YV
EV,EV
UA,UA
US,US
UA,UA
AA,AA
MQ,MQ
UA,UA
AA,AA
WN,WN
OO,OO
AA,AA
WN,WN
WN,WN
US,US
WN,WN
DL,DL
OO,OO
EV,EV
UA,UA
DL,DL
MQ,MQ
AA,AA
AA,AA
AA,AA
WN,WN
US,US
EV,EV
UA,UA
WN,WN
DL,DL
DL,DL
AA,AA
FL,FL
MQ,MQ
B6,B6
AA,AA
DL,DL
DL,DL
WN,WN
AA,AA
DL,DL
OO,OO
WN,WN
F9,F9
EV,EV
B6,B6
FL,FL
UA,UA
US,US
WN,WN
US,US
DL,DL
DL,DL
YV,YV
DL,DL
EV,EV
AA,AA
EV,EV
OO,OO
OO,OO
WN,WN
WN,WN
WN,WN
US,US
EV,EV
AA,AA
WN,WN
AA,AA
US,US
WN,WN
OO,OO
US,US
OO,OO
OO,OO
AA,AA
AA,AA
EV,EV
EV,EV
AA,AA
WN,WN
MQ,MQ
US,US
DL,DL
MQ,MQ
EV,EV
DL,DL
WN,WN
OO,OO
WN,WN
AA,AA
OO,OO
WN,WN
OO,OO
B6,B6
UA,UA
VX,VX
HA,HA
EV,EV
UA,UA
UA,UA
EV,EV
MQ,MQ
WN,WN
WN,WN
US,US
MQ,MQ
AA,AA
OO,OO
DL,DL
WN,WN
UA,UA
AA,AA
DL,DL
DL,DL
EV,EV
B6,B6
WN,WN
MQ,MQ
AA,AA
AA,AA
DL,DL
OO,OO
DL,DL
US,US
AA,AA
UA,UA
F9,F9
OO,OO
OO,OO
OO,OO
F9,F9
EV,EV
EV,EV
AS,AS
EV,EV
AA,AA
B6,B6
AA,AA
US,US
EV,EV
DL,DL
DL,DL
DL,DL
UA,UA
EV,EV
AS,AS
MQ,MQ
WN,WN
HA,HA
EV,EV
OO,OO
MQ,MQ
WN,WN
US,US
WN,WN
DL,DL
HA,HA
OO,OO
AA,AA
WN,WN
EV,EV
FL,FL
AA,AA
AA,AA
WN,WN
US,US
US,US
US,US
EV,EV
UA,UA
WN,WN
AA,AA
EV,EV
AA,AA
WN,WN
B6,B6
EV,EV
WN,WN
DL,DL
EV,EV
UA,UA
AA,AA
UA,UA
UA,UA
AA,AA
DL,DL
AA,AA
AA,AA
AS,AS
WN,WN
US,US
OO,OO
FL,FL
WN,WN
DL,DL
WN,WN
FL,FL
YV,YV
B6,B6
DL,DL
YV,YV
EV,EV
WN,WN
EV,EV
WN,WN
WN,WN
WN,WN
US,US
WN,WN
AA,AA
US,US
DL,DL
WN,WN
AA,AA
OO,OO
WN,WN
B6,B6
OO,OO
WN,WN
AA,AA
HA,HA
EV,EV
AS,AS
WN,WN
EV,EV
FL,FL
US,US
DL,DL
HA,HA
DL,DL
DL,DL
DL,DL
UA,UA
YV,YV
DL,DL
OO,OO
UA,UA
WN,WN
WN,WN
OO,OO
DL,DL
EV,EV
WN,WN
OO,OO
WN,WN
YV,YV
UA,UA
DL,DL
WN,WN
EV,EV
WN,WN
US,US
DL,DL
WN,WN
UA,UA
OO,OO
WN,WN
WN,WN
OO,OO
DL,DL
EV,EV
US,US
EV,EV
WN,WN
AA,AA
DL,DL
EV,EV
MQ,MQ
DL,DL
OO,OO
DL,DL
EV,EV
DL,DL
AA,AA
UA,UA
DL,DL
WN,WN
MQ,MQ
DL,DL
UA,UA
MQ,MQ
WN,WN
EV,EV
WN,WN
MQ,MQ
HA,HA
AA,AA
US,US
WN,WN
EV,EV
B6,B6
DL,DL
UA,UA
B6,B6
DL,DL
AS,AS
OO,OO
DL,DL
WN,WN
OO,OO
AA,AA
EV,EV
EV,EV
WN,WN
AA,AA
WN,WN
OO,OO
DL,DL
MQ,MQ
DL,DL
AS,AS
AS,AS
VX,VX
MQ,MQ
MQ,MQ
WN,WN
MQ,MQ
OO,OO
DL,DL
EV,EV
MQ,MQ
AA,AA
EV,EV
AA,AA
AA,AA
EV,EV
DL,DL
FL,FL
DL,DL
DL,DL
MQ,MQ
YV,YV
DL,DL
EV,EV
US,US
WN,WN
WN,WN
YV,YV
DL,DL
AA,AA
WN,WN
WN,WN
VX,VX
WN,WN
WN,WN
AA,AA
US,US
HA,HA
US,US
MQ,MQ
YV,YV
OO,OO
MQ,MQ
OO,OO
B6,B6
OO,OO
WN,WN
WN,WN
WN,WN
DL,DL
MQ,MQ
MQ,MQ
F9,F9
UA,UA
UA,UA
WN,WN
F9,F9
OO,OO
DL,DL
WN,WN
EV,EV
UA,UA
AA,AA
WN,WN
AA,AA
EV,EV
MQ,MQ
EV,EV
B6,B6
AA,AA
MQ,MQ
DL,DL
MQ,MQ
MQ,MQ
AA,AA
AA,AA
WN,WN
AA,AA
EV,EV
B6,B6
WN,WN
AA,AA
AS,AS
OO,OO
OO,OO
EV,EV
AA,AA
WN,WN
EV,EV
US,US
EV,EV
AA,AA
WN,WN
B6,B6
AS,AS
AA,AA
UA,UA
WN,WN
HA,HA
B6,B6
WN,WN
AA,AA
EV,EV
DL,DL
DL,DL
DL,DL
DL,DL
MQ,MQ
OO,OO
US,US
DL,DL
B6,B6
AA,AA
UA,UA
DL,DL
AS,AS
US,US
MQ,MQ
OO,OO
DL,DL
WN,WN
EV,EV
WN,WN
EV,EV
MQ,MQ
WN,WN
WN,WN
WN,WN
EV,EV
MQ,MQ
AA,AA
DL,DL
B6,B6
EV,EV
MQ,MQ
WN,WN
DL,DL
MQ,MQ
B6,B6
OO,OO
AA,AA
DL,DL
WN,WN
B6,B6
WN,WN
US,US
DL,DL
AA,AA
US,US
WN,WN
EV,EV
OO,OO
OO,OO
AA,AA
EV,EV
WN,WN
OO,OO
OO,OO
AA,AA
UA,UA
WN,WN
WN,WN
WN,WN
AA,AA
OO,OO
EV,EV
AA,AA
EV,EV
WN,WN
AA,AA
UA,UA
HA,HA
B6,B6
DL,DL
US,US
WN,WN
EV,EV
AA,AA
FL,FL
AA,AA
WN,WN
EV,EV
WN,WN
B6,B6
YV,YV
DL,DL
DL,DL
OO,OO
F9,F9
AA,AA
DL,DL
UA,UA
MQ,MQ
F9,F9
AA,AA
DL,DL
UA,UA
EV,EV
DL,DL
MQ,MQ
HA,HA
B6,B6
EV,EV
US,US
FL,FL
DL,DL
AA,AA
DL,DL
OO,OO
EV,EV
OO,OO
MQ,MQ
EV,EV
EV,EV
DL,DL
OO,OO
AA,AA
EV,EV
MQ,MQ
AA,AA
UA,UA
WN,WN
EV,EV
UA,UA
US,US
AA,AA
DL,DL
WN,WN
US,US
EV,EV
EV,EV
DL,DL
WN,WN
FL,FL
EV,EV
AA,AA
WN,WN
AA,AA
MQ,MQ
YV,YV
UA,UA
US,US
AA,AA
VX,VX
UA,UA
AA,AA
DL,DL
AA,AA
DL,DL
MQ,MQ
UA,UA
AA,AA
WN,WN
WN,WN
UA,UA
AS,AS
OO,OO
DL,DL
AA,AA
B6,B6
DL,DL
B6,B6
US,US
OO,OO
UA,UA
DL,DL
WN,WN
OO,OO
B6,B6
MQ,MQ
DL,DL
OO,OO
AA,AA
B6,B6
AA,AA
AA,AA
DL,DL
WN,WN
WN,WN
UA,UA
OO,OO
B6,B6
